"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-10-17T07:00:00.000Z","304.49","308.75","288.30","293.35","2.47","2.36","38,462,343"
"2019-10-18T07:00:00.000Z","289.36","290.90","273.36","275.30","-6.15","-6.26","23,449,638"
"2019-10-21T07:00:00.000Z","272.89","279.94","269.00","278.05","0.9989","0.8899","12,633,959"
"2019-10-22T07:00:00.000Z","271.16","275.41","265.80","266.69","-4.09","-4.19","11,865,593"
"2019-10-23T07:00:00.000Z","268.06","273.92","266.63","271.27","1.72","1.61","7,154,430"
"2019-10-24T07:00:00.000Z","271.81","274.02","268.80","271.50","0.0848","-0.0242","4,911,033"
"2019-10-25T07:00:00.000Z","270.68","277.77","270.18","276.82","1.96","1.85","4,747,829"
"2019-10-28T07:00:00.000Z","278.05","285.75","277.35","281.86","1.82","1.71","6,248,433"
"2019-10-29T07:00:00.000Z","281.87","284.41","277.55","281.21","-0.2306","-0.3396","4,356,181"
"2019-10-30T07:00:00.000Z","284.34","293.49","283.00","291.45","3.64","3.53","9,345,562"
"2019-10-31T07:00:00.000Z","291.00","291.45","284.78","287.41","-1.39","-1.50","5,090,021"
"2019-11-01T07:00:00.000Z","288.70","289.12","283.02","286.81","-0.2088","-0.3177","5,594,293"
"2019-11-04T08:00:00.000Z","288.00","295.39","287.16","292.86","2.11","2.00","5,566,213"
"2019-11-05T08:00:00.000Z","289.99","291.19","286.31","288.03","-1.65","-1.76","4,062,370"
"2019-11-06T08:00:00.000Z","288.19","290.56","285.84","288.59","0.1944","0.0855","3,438,257"
"2019-11-07T08:00:00.000Z","290.70","298.19","288.27","289.57","0.3396","0.2306","5,928,471"
"2019-11-08T08:00:00.000Z","288.73","293.99","287.50","291.57","0.6907","0.5817","4,509,588"
"2019-11-11T08:00:00.000Z","289.16","296.36","288.50","294.18","0.8952","0.7862","3,945,885"
"2019-11-12T08:00:00.000Z","295.32","295.35","288.70","292.01","-0.7376","-0.8466","5,774,833"
"2019-11-13T08:00:00.000Z","291.03","293.41","281.14","283.11","-3.05","-3.16","9,233,066"
"2019-11-14T08:00:00.000Z","283.25","290.63","283.22","289.62","2.30","2.19","6,539,771"
"2019-11-15T08:00:00.000Z","290.59","295.82","287.57","295.03","1.87","1.76","6,337,779"
"2019-11-18T08:00:00.000Z","296.00","304.99","293.28","302.57","2.56","2.45","8,621,566"
"2019-11-19T08:00:00.000Z","304.01","305.67","298.52","302.60","0.0099","-0.0990","5,919,710"
"2019-11-20T08:00:00.000Z","301.01","308.25","301.00","305.16","0.8460","0.7370","5,115,546"
"2019-11-21T08:00:00.000Z","306.00","312.69","304.26","311.69","2.14","2.03","7,488,373"
"2019-11-22T08:00:00.000Z","309.10","311.40","304.41","310.48","-0.3882","-0.4972","5,970,056"
"2019-11-25T08:00:00.000Z","308.83","315.73","305.25","315.55","1.63","1.52","7,878,943"
"2019-11-26T08:00:00.000Z","315.00","316.50","311.69","312.49","-0.9697","-1.08","5,328,348"
"2019-11-27T08:00:00.000Z","313.93","316.82","312.75","315.93","1.10","0.9919","4,100,975"
"2019-11-29T08:00:00.000Z","315.78","316.62","313.34","314.66","-0.4020","-0.5109","2,411,749"
"2019-12-02T08:00:00.000Z","314.39","314.39","303.75","309.99","-1.48","-1.59","6,223,135"
"2019-12-03T08:00:00.000Z","302.22","307.36","301.88","306.16","-1.24","-1.34","5,272,447"
"2019-12-04T08:00:00.000Z","308.43","308.43","303.27","304.32","-0.6010","-0.7100","3,513,551"
"2019-12-05T08:00:00.000Z","305.27","306.48","298.81","302.86","-0.4798","-0.5887","4,618,867"
"2019-12-06T08:00:00.000Z","304.70","307.85","302.60","307.35","1.48","1.37","4,459,684"
"2019-12-09T08:00:00.000Z","307.35","311.49","302.44","302.50","-1.58","-1.69","5,766,006"
"2019-12-10T08:00:00.000Z","296.12","298.94","292.02","293.12","-3.10","-3.21","10,481,239"
"2019-12-11T08:00:00.000Z","294.49","299.43","294.20","298.93","1.98","1.87","5,607,155"
"2019-12-12T08:00:00.000Z","295.67","299.17","295.06","298.44","-0.1639","-0.2729","4,771,404"
"2019-12-13T08:00:00.000Z","298.50","301.80","297.25","298.50","0.0201","-0.0889","3,883,069"
"2019-12-16T08:00:00.000Z","300.85","305.71","298.63","304.21","1.91","1.80","4,660,166"
"2019-12-17T08:00:00.000Z","307.36","316.80","306.60","315.48","3.70","3.60","10,437,127"
"2019-12-18T08:00:00.000Z","316.26","325.36","315.60","320.80","1.69","1.58","11,210,737"
"2019-12-19T08:00:00.000Z","324.50","332.83","324.18","332.22","3.56","3.45","9,833,355"
"2019-12-20T08:00:00.000Z","335.00","338.00","330.60","336.90","1.41","1.30","9,923,260"
"2019-12-23T08:00:00.000Z","337.76","337.95","331.02","333.10","-1.13","-1.24","5,767,937"
"2019-12-24T08:00:00.000Z","334.01","335.70","331.60","333.20","0.0300","-0.0789","2,019,322"
"2019-12-26T08:00:00.000Z","334.60","336.46","332.01","332.63","-0.1711","-0.2800","3,595,854"
"2019-12-27T08:00:00.000Z","332.96","333.82","326.01","329.09","-1.06","-1.17","5,037,156"
"2019-12-30T08:00:00.000Z","329.08","329.19","322.86","323.31","-1.76","-1.87","4,315,267"
"2019-12-31T08:00:00.000Z","322.00","324.92","321.09","323.57","0.0804","-0.0285","3,714,837"
"2020-01-02T08:00:00.000Z","326.10","329.98","324.78","329.81","1.93","1.82","4,348,493"
"2020-01-03T08:00:00.000Z","326.78","329.86","325.53","325.90","-1.19","-1.29","3,795,466"
"2020-01-06T08:00:00.000Z","323.12","336.36","321.20","335.83","3.05","2.94","5,668,577"
"2020-01-07T08:00:00.000Z","336.47","336.70","330.30","330.75","-1.51","-1.62","4,742,458"
"2020-01-08T08:00:00.000Z","331.49","342.70","331.05","339.26","2.57","2.46","7,109,117"
"2020-01-09T08:00:00.000Z","342.00","343.42","334.61","335.66","-1.06","-1.17","4,717,430"
"2020-01-10T08:00:00.000Z","337.13","338.50","327.27","329.05","-1.97","-2.08","4,720,540"
"2020-01-13T08:00:00.000Z","331.80","340.85","331.51","338.92","3.00","2.89","6,296,174"
"2020-01-14T08:00:00.000Z","344.40","345.38","335.52","338.69","-0.0679","-0.1768","7,201,544"
"2020-01-15T08:00:00.000Z","338.68","343.17","336.60","339.07","0.1122","0.0032","5,158,035"
"2020-01-16T08:00:00.000Z","343.50","343.56","335.85","338.62","-0.1327","-0.2417","5,015,997"
"2020-01-17T08:00:00.000Z","341.00","341.57","337.38","339.67","0.3101","0.2011","6,066,547"
"2020-01-21T08:00:00.000Z","340.00","341.00","332.59","338.11","-0.4593","-0.5682","14,350,322"
"2020-01-22T08:00:00.000Z","332.55","336.30","323.60","326.00","-3.58","-3.69","21,729,959"
"2020-01-23T08:00:00.000Z","326.04","349.88","325.01","349.60","7.24","7.13","18,200,293"
"2020-01-24T08:00:00.000Z","348.46","359.85","345.88","353.16","1.02","0.9093","17,939,681"
"2020-01-27T08:00:00.000Z","345.95","351.90","341.02","342.88","-2.91","-3.02","7,709,482"
"2020-01-28T08:00:00.000Z","345.88","352.40","342.78","348.52","1.64","1.54","6,821,581"
"2020-01-29T08:00:00.000Z","349.00","349.40","338.55","343.16","-1.54","-1.65","7,649,183"
"2020-01-30T08:00:00.000Z","341.10","348.20","339.25","347.74","1.33","1.23","5,328,136"
"2020-01-31T08:00:00.000Z","347.39","347.39","340.98","345.09","-0.7621","-0.8710","5,230,001"
"2020-02-03T08:00:00.000Z","347.24","359.63","346.28","358.00","3.74","3.63","6,674,885"
"2020-02-04T08:00:00.000Z","361.00","369.57","356.10","369.01","3.08","2.97","7,161,451"
"2020-02-05T08:00:00.000Z","375.13","375.25","362.30","369.67","0.1789","0.0699","6,437,026"
